opponent, outcome, home/away, tourn, team1
Fairleigh Dickinson, W, H, 0,Villanova
Nebraska, W, H, 0,Villanova
East Tennessee St., W, H, 0,Villanova
Akron, W, H, 0,Villanova
Stanford, W, H, 0,Villanova
Georgia Tech, W, N, 0,Villanova
Saint Joseph's, W, A, 0,Villanova
Oklahoma, L, N, 0,Villanova
La Salle, W, H, 0,Villanova
Virginia, L, A, 0,Villanova
Delaware, W, H, 0,Villanova
Penn, W, H, 0,Villanova
Xavier, W, H, 0,Villanova
Creighton, W, A, 0,Villanova
Seton Hall, W, H, 0,Villanova
Butler, W, A, 0,Villanova
Marquette, W, H, 0,Villanova
Georgetown, W, A, 0,Villanova
Seton Hall, W, A, 0,Villanova
Providence, L, H, 0,Villanova
St. John's, W, A, 0,Villanova
Creighton, W, H, 0,Villanova
Providence, W, A, 0,Villanova
DePaul, W, A, 0,Villanova
St. John's, W, H, 0,Villanova
Temple, W, A, 0,Villanova
Butler, W, H, 0,Villanova
Xavier, L, A, 0,Villanova
Marquette, W, A, 0,Villanova
DePaul, W, H, 0,Villanova
Georgetown, W, H, 0,Villanova
Georgetown, W, N, 1,Villanova
Providence, W, N, 1,Villanova
Seton Hall, L, N, 1,Villanova
UNC Asheville, W, N, 2,Villanova
Iowa, W, N, 2,Villanova
Miami FL, W, N, 2,Villanova
Kansas, W, N, 2,Villanova
Oklahoma, W, N, 2,Villanova
North Carolina, W, N, 2,Villanova
Temple, W, N, 0,North Carolina
Fairfield, W, H, 0,North Carolina
Wofford, W, H, 0,North Carolina
Northern Iowa, L, A, 0,North Carolina
Northwestern, W, N, 0,North Carolina
Kansas St., W, N, 0,North Carolina
Maryland, W, H, 0,North Carolina
Davidson, W, H, 0,North Carolina
Texas, L, A, 0,North Carolina
Tulane, W, H, 0,North Carolina
UCLA, W, N, 0,North Carolina
Appalachian St., W, H, 0,North Carolina
UNC Greensboro, W, H, 0,North Carolina
Clemson, W, H, 0,North Carolina
Georgia Tech, W, H, 0,North Carolina
Florida St., W, A, 0,North Carolina
Syracuse, W, A, 0,North Carolina
North Carolina St., W, H, 0,North Carolina
Wake Forest, W, H, 0,North Carolina
Virginia Tech, W, A, 0,North Carolina
Boston College, W, H, 0,North Carolina
Louisville, L, A, 0,North Carolina
Notre Dame, L, A, 0,North Carolina
Boston College, W, A, 0,North Carolina
Pittsburgh, W, H, 0,North Carolina
Duke, L, H, 0,North Carolina
Miami FL, W, H, 0,North Carolina
North Carolina St., W, A, 0,North Carolina
Virginia, L, A, 0,North Carolina
Syracuse, W, H, 0,North Carolina
Duke, W, A, 0,North Carolina
Pittsburgh, W, N, 1,North Carolina
Notre Dame, W, N, 1,North Carolina
Virginia, W, N, 1,North Carolina
Florida Gulf Coast, W, H, 2,North Carolina
Providence, W, H, 2,North Carolina
Indiana, W, N, 2,North Carolina
Notre Dame, W, N, 2,North Carolina
Syracuse, W, N, 2,North Carolina
Villanova, L, N, 2,North Carolina
Northern Colorado, W, H, 0,Kansas
Michigan St., L, N, 0,Kansas
UCLA, W, N, 0,Kansas
Vanderbilt, W, N, 0,Kansas
Loyola MD, W, H, 0,Kansas
Harvard, W, H, 0,Kansas
Holy Cross, W, H, 0,Kansas
Oregon St., W, H, 0,Kansas
Montana, W, H, 0,Kansas
San Diego St., W, A, 0,Kansas
UC Irvine, W, H, 0,Kansas
Baylor, W, H, 0,Kansas
Oklahoma, W, H, 0,Kansas
Texas Tech, W, A, 0,Kansas
West Virginia, L, A, 0,Kansas
TCU, W, H, 0,Kansas
Oklahoma St., L, A, 0,Kansas
Texas, W, H, 0,Kansas
Iowa St., L, A, 0,Kansas
Kentucky, W, H, 0,Kansas
Kansas St., W, H, 0,Kansas
