opponent, outcome, home/away, team1
North Carolina A&T, W, H,Ohio St.
Florida, W, A,Ohio St.
UNC Wilmington, W, H,Ohio St.
Morehead St., W, H,Ohio St.
Miami OH, W, H,Ohio St.
Florida St., W, A,Ohio St.
IUPUI, W, H,Ohio St.
Western Carolina, W, H,Ohio St.
Florida Gulf Coast, W, H,Ohio St.
South Carolina, W, H,Ohio St.
UNC Asheville, W, H,Ohio St.
Oakland, W, H,Ohio St.
Tennessee Martin, W, H,Ohio St.
Indiana, W, A,Ohio St.
Iowa, W, A,Ohio St.
Minnesota, W, H,Ohio St.
Michigan, W, A,Ohio St.
Penn St., W, H,Ohio St.
Iowa, W, H,Ohio St.
Illinois, W, A,Ohio St.
Purdue, W, H,Ohio St.
Northwestern, W, A,Ohio St.
Michigan, W, H,Ohio St.
Minnesota, W, A,Ohio St.
Wisconsin, L, A,Ohio St.
Michigan St., W, H,Ohio St.
Purdue, L, A,Ohio St.
Illinois, W, H,Ohio St.
Indiana, W, H,Ohio St.
Penn St., W, A,Ohio St.
Wisconsin, W, H,Ohio St.
Northwestern, W, N,Ohio St.
Michigan, W, N,Ohio St.
Penn St., W, N,Ohio St.
UTSA, W, H,Ohio St.
George Mason, W, H,Ohio St.
Kentucky, L, N,Ohio St.
Princeton, W, H,Duke
Miami OH, W, H,Duke
Colgate, W, H,Duke
Marquette, W, N,Duke
Kansas St., W, A,Duke
Oregon, W, A,Duke
Michigan St., W, H,Duke
Butler, W, N,Duke
Bradley, W, H,Duke
Saint Louis, W, H,Duke
Elon, W, H,Duke
UNC Greensboro, W, A,Duke
Miami FL, W, H,Duke
UAB, W, H,Duke
Maryland, W, H,Duke
Florida St., L, A,Duke
Virginia, W, H,Duke
North Carolina St., W, A,Duke
Wake Forest, W, A,Duke
Boston College, W, H,Duke
St. John's, L, A,Duke
Maryland, W, A,Duke
North Carolina St., W, H,Duke
North Carolina, W, H,Duke
Miami FL, W, A,Duke
Virginia, W, A,Duke
Georgia Tech, W, H,Duke
Temple, W, H,Duke
Virginia Tech, L, A,Duke
Clemson, W, H,Duke
North Carolina, L, A,Duke
Maryland, W, H,Duke
Virginia Tech, W, H,Duke
North Carolina, W, N,Duke
Hampton, W, H,Duke
Michigan, W, H,Duke
Arizona, L, N,Duke
Longwood, W, H,Kansas
Valparaiso, W, H,Kansas
North Texas, W, H,Kansas
Texas A&M Corpus Chris, W, H,Kansas
Ohio, W, N,Kansas
Arizona, W, N,Kansas
UCLA, W, H,Kansas
Memphis, W, N,Kansas
Colorado St., W, H,Kansas
USC, W, H,Kansas
California, W, A,Kansas
UT Arlington, W, H,Kansas
Miami OH, W, H,Kansas
UMKC, W, H,Kansas
Michigan, W, A,Kansas
Iowa St., W, A,Kansas
Nebraska, W, H,Kansas
Baylor, W, A,Kansas
Texas, L, H,Kansas
Colorado, W, A,Kansas
Kansas St., W, H,Kansas
Texas Tech, W, A,Kansas
Nebraska, W, A,Kansas
Missouri, W, H,Kansas
Iowa St., W, H,Kansas
Kansas St., L, A,Kansas
Colorado, W, H,Kansas
Oklahoma St., W, H,Kansas
Oklahoma, W, A,Kansas
Texas A&M, W, H,Kansas
