date, rank, opponent, outcome, team_score, opp_score, home/away, rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM, opp_rank, opp_name, opp_conf, opp_win_loss, opp_adjEM, opp_adjO, opp_adjD, opp_adjT, opp_luck, opp_adjEM, opp_oppO, opp_oppD, opp_noncon_adjEM
Wed Jan 2, 119, Davidson, W,  106, 71, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,119, Davidson, SC, 18-10, +1.79, 101.5, 97.8, 65.1, +.142, +1.79, 104.5, 102.7, +9.43
Sun Jan 6, 121, Florida St., L,  77, 76, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,121, Florida St., ACC, 12-17, +7.79, 105.8, 102.3, 68.3, -.054, +7.79, 108.1, 100.3, -9.05
Thu Jan 10, 70, Georgia Tech, W,  104, 79, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,70, Georgia Tech, ACC, 15-16, +8.64, 111.1, 100.6, 70.5, -.022, +8.64, 108.2, 99.6, +0.93
Sun Jan 13, 21, North Carolina St., W,  76, 57, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,21, North Carolina St., ACC, 23-11, +8.28, 113.2, 94.0, 67.5, +.012, +8.28, 108.8, 100.6, -5.56
Thu Jan 17, 3, Maryland, W,  99, 78, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62
Sat Jan 19, 30, Wake Forest, W,  103, 80, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,30, Wake Forest, ACC, 21-13, +11.24, 118.6, 101.3, 69.5, +.006, +11.24, 109.3, 98.1, +5.85
Thu Jan 24, 71, Boston College, W,  88, 78, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,71, Boston College, BE, 20-12, +6.41, 109.4, 99.4, 69.1, +.040, +6.41, 105.5, 99.1, -2.78
Sun Jan 27, 53, Virginia, W,  94, 81, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,53, Virginia, ACC, 17-12, +8.00, 112.0, 99.1, 69.4, -.017, +8.00, 108.1, 100.1, -3.62
Thu Jan 31, 137, North Carolina, W,  87, 58, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,137, North Carolina, ACC, 8-20, +11.37, 105.8, 103.2, 70.0, -.065, +11.37, 110.3, 98.9, +1.78
Sat Feb 2, 132, Clemson, W,  98, 88, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,132, Clemson, ACC, 13-17, +4.80, 107.3, 104.4, 69.4, -.038, +4.80, 106.0, 101.2, -9.30
Thu Feb 7, 121, Florida St., W,  80, 49, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,121, Florida St., ACC, 12-17, +7.79, 105.8, 102.3, 68.3, -.054, +7.79, 108.1, 100.3, -9.05
Sat Feb 9, 70, Georgia Tech, W,  95, 63, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,70, Georgia Tech, ACC, 15-16, +8.64, 111.1, 100.6, 70.5, -.022, +8.64, 108.2, 99.6, +0.93
Thu Feb 14, 21, North Carolina St., W,  108, 71, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,21, North Carolina St., ACC, 23-11, +8.28, 113.2, 94.0, 67.5, +.012, +8.28, 108.8, 100.6, -5.56
Sun Feb 17, 3, Maryland, L,  87, 73, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62
Thu Feb 21, 30, Wake Forest, W,  90, 61, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,30, Wake Forest, ACC, 21-13, +11.24, 118.6, 101.3, 69.5, +.006, +11.24, 109.3, 98.1, +5.85
Sun Feb 24, 76, St. John's, W,  97, 55, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,76, St. John's, BE, 20-12, +6.40, 102.7, 93.6, 69.1, +.089, +6.40, 106.7, 100.3, -0.79
Thu Feb 28, 53, Virginia, L,  87, 84, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,53, Virginia, ACC, 17-12, +8.00, 112.0, 99.1, 69.4, -.017, +8.00, 108.1, 100.1, -3.62
Sun Mar 3, 137, North Carolina, W,  93, 68, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,137, North Carolina, ACC, 8-20, +11.37, 105.8, 103.2, 70.0, -.065, +11.37, 110.3, 98.9, +1.78
Fri Mar 8, 137, North Carolina, W,  60, 48, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,137, North Carolina, ACC, 8-20, +11.37, 105.8, 103.2, 70.0, -.065, +11.37, 110.3, 98.9, +1.78
Sat Mar 9, 30, Wake Forest, W,  79, 64, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,30, Wake Forest, ACC, 21-13, +11.24, 118.6, 101.3, 69.5, +.006, +11.24, 109.3, 98.1, +5.85
Sun Mar 10, 21, North Carolina St., W,  91, 61, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,21, North Carolina St., ACC, 23-11, +8.28, 113.2, 94.0, 67.5, +.012, +8.28, 108.8, 100.6, -5.56
Thu Mar 14, 219, Winthrop, W,  84, 37, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,219, Winthrop, BSth, 17-12, -10.73, 97.3, 102.6, 65.9, +.038, -10.73, 97.2, 107.9, -0.98
Sat Mar 16, 19, Notre Dame, W,  84, 77, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,19, Notre Dame, BE, 21-11, +7.34, 116.1, 96.8, 68.6, -.087, +7.34, 105.6, 98.3, -1.55
Thu Mar 21, 6, Indiana, L,  74, 73, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,6, Indiana, B10, 25-12, +14.12, 114.0, 89.2, 65.6, -.049, +14.12, 111.1, 96.9, +13.54
Fri Nov 16, 38, Oklahoma St., L,  69, 62, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,38, Oklahoma St., B12, 23-9, +7.11, 107.9, 92.1, 66.0, +.047, +7.11, 108.1, 101.0, +0.53
Tue Nov 20, 134, Wright St., W,  83, 54, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,134, Wright St., Horz, 17-11, -2.09, 110.9, 108.3, 65.2, +.033, -2.09, 102.6, 104.7, -7.70
Sat Nov 24, 81, UNLV, W,  74, 61, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,81, UNLV, MWC, 21-11, +4.23, 109.7, 101.5, 72.4, +.068, +4.23, 105.8, 101.5, -1.04
Wed Nov 28, 42, Dayton, W,  77, 55, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,42, Dayton, A10, 21-11, +2.83, 112.9, 97.4, 66.6, -.042, +2.83, 104.7, 101.9, +1.31
Sat Dec 1, 225, Duquesne, W,  74, 41, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,225, Duquesne, A10, 9-19, +4.83, 99.3, 105.1, 66.5, +.001, +4.83, 106.7, 101.8, +2.78
Sat Dec 8, 315, Coppin St., W,  90, 39, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,315, Coppin St., MEAC, 5-24, -8.41, 88.0, 109.0, 64.3, -.062, -8.41, 98.6, 107.0, -0.23
Mon Dec 10, 153, Toledo, W,  68, 55, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,153, Toledo, MAC, 16-14, +1.51, 99.1, 98.7, 66.2, +.068, +1.51, 106.5, 105.0, +5.12
Fri Dec 14, 23, Xavier, W,  75, 55, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,23, Xavier, A10, 26-6, +5.10, 111.2, 92.6, 67.0, +.051, +5.10, 106.9, 101.8, +5.37
Mon Dec 17, 80, Richmond, W,  77, 46, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,80, Richmond, A10, 22-14, +4.71, 104.1, 95.8, 60.8, +.069, +4.71, 106.4, 101.7, +5.10
Thu Dec 20, 187, Louisiana Monroe, W,  102, 66, N,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,187, Louisiana Monroe, Slnd, 19-12, -2.89, 99.9, 101.9, 70.1, +.138, -2.89, 100.8, 103.7, +10.95
Fri Dec 21, 26, Mississippi St., W,  90, 56, N,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,26, Mississippi St., SEC, 27-8, +8.93, 111.4, 93.1, 67.9, +.107, +8.93, 106.9, 98.0, -0.96
Sat Dec 22, 83, Purdue, W,  79, 62, N,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,83, Purdue, B10, 13-18, +8.98, 109.8, 102.2, 68.0, -.059, +8.98, 108.4, 99.4, +5.06
Sat Dec 29, 227, Akron, W,  73, 57, N,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,227, Akron, MAC, 9-21, +1.27, 105.2, 111.2, 65.6, -.026, +1.27, 105.4, 104.2, -1.37
Sat Jan 5, 183, East Carolina, W,  72, 62, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,183, East Carolina, CUSA, 10-18, +5.93, 102.3, 104.1, 65.0, +.037, +5.93, 105.1, 99.2, -0.66
Tue Jan 8, 40, Charlotte, W,  71, 58, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,40, Charlotte, CUSA, 18-12, +9.24, 114.2, 98.5, 66.8, -.008, +9.24, 107.5, 98.3, +6.49
Sat Jan 12, 104, Houston, W,  83, 62, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,104, Houston, CUSA, 17-15, +6.12, 108.7, 103.7, 66.0, +.064, +6.12, 106.5, 100.3, +1.53
Wed Jan 16, 170, DePaul, W,  89, 72, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,170, DePaul, CUSA, 9-19, +6.90, 100.4, 101.4, 71.3, -.043, +6.90, 107.3, 100.4, -0.92
Sat Jan 19, 61, Louisville, W,  77, 50, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,61, Louisville, CUSA, 19-13, +6.99, 108.1, 96.4, 72.6, +.008, +6.99, 107.0, 100.0, +1.75
Tue Jan 22, 86, Saint Louis, W,  54, 50, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,86, Saint Louis, CUSA, 15-16, +5.90, 98.1, 91.2, 65.3, -.023, +5.90, 106.6, 100.7, +2.38
Sat Jan 26, 73, South Florida, W,  78, 68, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,73, South Florida, CUSA, 19-13, +5.41, 107.9, 98.4, 71.8, +.018, +5.41, 106.0, 100.6, -0.09
Tue Jan 29, 183, East Carolina, W,  75, 48, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,183, East Carolina, CUSA, 10-18, +5.93, 102.3, 104.1, 65.0, +.037, +5.93, 105.1, 99.2, -0.66
Sat Feb 2, 11, Marquette, L,  74, 60, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,11, Marquette, CUSA, 26-7, +5.41, 113.4, 91.9, 64.6, +.006, +5.41, 105.7, 100.3, -2.87
Wed Feb 6, 40, Charlotte, W,  85, 66, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,40, Charlotte, CUSA, 18-12, +9.24, 114.2, 98.5, 66.8, -.008, +9.24, 107.5, 98.3, +6.49
Sat Feb 9, 30, Wake Forest, W,  103, 94, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,30, Wake Forest, ACC, 21-13, +11.24, 118.6, 101.3, 69.5, +.006, +11.24, 109.3, 98.1, +5.85
Tue Feb 12, 86, Saint Louis, W,  67, 53, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,86, Saint Louis, CUSA, 15-16, +5.90, 98.1, 91.2, 65.3, -.023, +5.90, 106.6, 100.7, +2.38
Fri Feb 15, 165, Southern Miss, W,  89, 37, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,165, Southern Miss, CUSA, 9-17, +4.29, 97.7, 98.1, 64.3, -.052, +4.29, 105.6, 101.3, -2.52
Tue Feb 19, 170, DePaul, W,  79, 62, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,170, DePaul, CUSA, 9-19, +6.90, 100.4, 101.4, 71.3, -.043, +6.90, 107.3, 100.4, -0.92
Fri Feb 22, 11, Marquette, W,  63, 62, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,11, Marquette, CUSA, 26-7, +5.41, 113.4, 91.9, 64.6, +.006, +5.41, 105.7, 100.3, -2.87
Wed Feb 27, 61, Louisville, L,  74, 71, A,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,61, Louisville, CUSA, 19-13, +6.99, 108.1, 96.4, 72.6, +.008, +6.99, 107.0, 100.0, +1.75
Sun Mar 3, 33, Memphis, W,  80, 75, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,33, Memphis, CUSA, 27-9, +3.63, 112.5, 95.8, 70.8, -.008, +3.63, 105.1, 101.5, -1.69
Thu Mar 7, 73, South Florida, W,  79, 57, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,73, South Florida, CUSA, 19-13, +5.41, 107.9, 98.4, 71.8, +.018, +5.41, 106.0, 100.6, -0.09
Fri Mar 8, 40, Charlotte, W,  71, 55, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,40, Charlotte, CUSA, 18-12, +9.24, 114.2, 98.5, 66.8, -.008, +9.24, 107.5, 98.3, +6.49
Sat Mar 9, 11, Marquette, W,  77, 63, H,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,11, Marquette, CUSA, 26-7, +5.41, 113.4, 91.9, 64.6, +.006, +5.41, 105.7, 100.3, -2.87
Fri Mar 15, 194, Boston University, W,  90, 52, N,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,194, Boston University, AE, 22-10, -9.18, 101.3, 104.0, 64.5, +.102, -9.18, 97.7, 106.9, +0.25
Sun Mar 17, 35, UCLA, L,  105, 101, N,2, Cincinnati, CUSA, 31-4, +6.58, 118.1, 87.9, 67.4, +.002, +6.58, 106.5, 100.0, +3.48,35, UCLA, P10, 21-12, +12.00, 113.7, 97.3, 68.1, +.048, +12.00, 110.3, 98.3, +8.58
Thu Nov 8, 13, Arizona, L,  71, 67, N,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,13, Arizona, P10, 24-10, +14.22, 119.3, 98.8, 71.1, +.079, +14.22, 111.5, 97.3, +17.56
Fri Nov 9, 48, Temple, W,  82, 74, N,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,48, Temple, A10, 19-15, +8.04, 114.0, 100.4, 62.2, -.038, +8.04, 107.7, 99.7, +14.74
Sat Nov 17, 206, American, W,  83, 53, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,206, American, Pat, 18-12, -7.70, 101.0, 105.1, 62.9, +.057, -7.70, 98.5, 106.2, -3.16
Sat Nov 24, 242, Delaware St., W,  77, 53, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,242, Delaware St., MEAC, 15-13, -9.99, 99.6, 106.9, 62.8, +.010, -9.99, 97.3, 107.3, -2.50
Tue Nov 27, 8, Illinois, W,  76, 63, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,8, Illinois, B10, 26-9, +10.60, 115.7, 92.5, 68.5, +.016, +10.60, 110.0, 99.4, +6.79
Sun Dec 2, 145, Princeton, W,  61, 53, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,145, Princeton, Ivy, 15-12, -0.74, 103.7, 102.2, 57.7, +.023, -0.74, 102.0, 102.7, +4.72
Mon Dec 3, 18, Connecticut, W,  77, 65, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,18, Connecticut, BE, 27-7, +8.19, 112.2, 92.8, 68.7, +.063, +8.19, 107.5, 99.3, +1.73
Sun Dec 9, 102, Detroit, W,  79, 54, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,102, Detroit, Horz, 18-13, +2.37, 104.0, 99.0, 63.3, +.051, +2.37, 105.2, 102.9, +3.03
Tue Dec 11, 231, Monmouth, W,  91, 55, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,231, Monmouth, NEC, 18-12, -8.73, 96.6, 103.0, 65.7, +.097, -8.73, 99.6, 108.3, +6.88
Fri Dec 21, 5, Oklahoma, L,  72, 56, A,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,5, Oklahoma, B12, 31-5, +8.77, 114.9, 88.9, 66.5, +.043, +8.77, 109.2, 100.4, -0.44
Thu Dec 27, 222, William & Mary, W,  103, 75, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,222, William & Mary, CAA, 9-19, +0.44, 96.6, 102.2, 65.4, -.029, +0.44, 103.9, 103.4, +4.55
Sun Dec 30, 21, North Carolina St., W,  72, 65, A,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,21, North Carolina St., ACC, 23-11, +8.28, 113.2, 94.0, 67.5, +.012, +8.28, 108.8, 100.6, -5.56
Thu Jan 3, 288, Norfolk St., W,  92, 69, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,288, Norfolk St., MEAC, 10-19, -6.29, 93.7, 108.7, 70.5, +.063, -6.29, 99.4, 105.7, +8.68
Wed Jan 9, 137, North Carolina, W,  112, 79, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,137, North Carolina, ACC, 8-20, +11.37, 105.8, 103.2, 70.0, -.065, +11.37, 110.3, 98.9, +1.78
Sun Jan 13, 70, Georgia Tech, W,  92, 87, A,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,70, Georgia Tech, ACC, 15-16, +8.64, 111.1, 100.6, 70.5, -.022, +8.64, 108.2, 99.6, +0.93
Thu Jan 17, 1, Duke, L,  99, 78, A,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66
Sun Jan 20, 132, Clemson, W,  99, 90, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,132, Clemson, ACC, 13-17, +4.80, 107.3, 104.4, 69.4, -.038, +4.80, 106.0, 101.2, -9.30
Wed Jan 23, 30, Wake Forest, W,  85, 63, A,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,30, Wake Forest, ACC, 21-13, +11.24, 118.6, 101.3, 69.5, +.006, +11.24, 109.3, 98.1, +5.85
Sat Jan 26, 121, Florida St., W,  84, 63, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,121, Florida St., ACC, 12-17, +7.79, 105.8, 102.3, 68.3, -.054, +7.79, 108.1, 100.3, -9.05
Thu Jan 31, 53, Virginia, W,  91, 87, A,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,53, Virginia, ACC, 17-12, +8.00, 112.0, 99.1, 69.4, -.017, +8.00, 108.1, 100.1, -3.62
Sun Feb 3, 21, North Carolina St., W,  89, 73, H,3, Maryland, ACC, 32-4, +9.88, 119.2, 89.9, 73.7, +.025, +9.88, 109.4, 99.5, +1.62,21, North Carolina St., ACC, 23-11, +8.28, 113.2, 94.0, 67.5, +.012, +8.28, 108.8, 100.6, -5.56
