date, rank, opponent, outcome, team_score, opp_score, home/away, rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM, opp_rank, opp_name, opp_conf, opp_win_loss, opp_adjEM, opp_adjO, opp_adjD, opp_adjT, opp_luck, opp_adjEM, opp_oppO, opp_oppD, opp_noncon_adjEM
Mon Nov 19, 84, Seton Hall, W,  80, 79, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,84, Seton Hall, BE, 11-18, +7.89, 105.0, 97.9, 68.6, -.100, +7.89, 106.4, 98.5, +2.03
Tue Nov 20, 20, South Carolina, W,  81, 56, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,20, South Carolina, SEC, 21-15, +10.28, 107.0, 87.9, 65.3, -.074, +10.28, 108.7, 98.4, -0.78
Wed Nov 21, 55, Ball St., W,  83, 71, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,55, Ball St., MAC, 23-12, +3.72, 113.3, 100.6, 69.1, +.012, +3.72, 106.0, 102.3, +8.96
Sun Nov 25, 258, Portland, W,  104, 62, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,258, Portland, WCC, 6-24, +0.26, 97.3, 106.4, 73.1, -.027, +0.26, 103.5, 103.2, -1.86
Tue Nov 27, 46, Iowa, W,  80, 62, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,46, Iowa, B10, 19-16, +8.62, 110.4, 96.8, 69.0, -.060, +8.62, 108.5, 99.9, +1.48
Sun Dec 2, 132, Clemson, W,  96, 80, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,132, Clemson, ACC, 13-17, +4.80, 107.3, 104.4, 69.4, -.038, +4.80, 106.0, 101.2, -9.30
Wed Dec 5, 48, Temple, W,  82, 57, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,48, Temple, A10, 19-15, +8.04, 114.0, 100.4, 62.2, -.038, +8.04, 107.7, 99.7, +14.74
Sat Dec 8, 128, Michigan, W,  104, 83, A,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,128, Michigan, B10, 11-18, +8.27, 105.4, 102.3, 65.6, -.038, +8.27, 108.5, 100.2, -0.43
Sun Dec 16, 271, North Carolina A&T, W,  93, 51, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,271, North Carolina A&T, MEAC, 10-17, -7.02, 92.8, 104.7, 70.4, +.024, -7.02, 99.7, 106.7, +7.00
Tue Dec 18, 10, Kentucky, W,  95, 92, N,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,10, Kentucky, SEC, 22-10, +12.97, 113.4, 91.2, 68.0, -.029, +12.97, 110.3, 97.4, +6.75
Sat Dec 29, 74, San Diego St., W,  92, 79, H,1, Duke, ACC, 31-4, +9.87, 121.0, 86.8, 74.5, -.027, +9.87, 109.3, 99.5, +6.66,74, San Diego St., MWC, 21-12, +5.64, 106.9, 97.6, 70.0, +.055, +5.64, 106.9, 101.3, +0.67
