rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM,misc,
1, Villanova, BE, 35-5, +10.74, 122.8, 90.8, 66.0, +.023, +10.74, 110.5, 99.7, +2.98, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
2, North Carolina, ACC, 33-7, +11.45, 124.4, 94.6, 70.5, -.055, +11.45, 111.7, 100.2, +3.13, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
3, Kansas, B12, 33-5, +12.61, 120.0, 90.4, 69.0, +.044, +12.61, 111.4, 98.8, +3.62, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
4, Virginia, ACC, 29-8, +12.67, 120.6, 91.0, 61.3, -.040, +12.67, 112.1, 99.5, +4.98, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
5, Michigan St., B10, 29-6, +7.19, 123.4, 95.5, 66.5, -.012, +7.19, 107.5, 100.3, +0.40, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
6, Kentucky, SEC, 27-9, +8.37, 121.8, 96.6, 67.4, -.046, +8.37, 108.6, 100.3, +3.19, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
7, Louisville, ACC, 23-8, +7.49, 113.4, 88.8, 66.1, -.025, +7.49, 110.4, 102.9, -7.40, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
8, West Virginia, B12, 26-9, +11.24, 115.3, 90.9, 69.5, +.003, +11.24, 110.9, 99.6, +0.72, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
9, Purdue, B10, 26-9, +7.43, 116.9, 93.1, 67.9, -.046, +7.43, 109.1, 101.7, -2.67, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
10, Oklahoma, B12, 29-8, +13.05, 117.9, 94.1, 69.8, +.082, +13.05, 111.5, 98.5, +2.70, 104.8^68.2^17.3^49.9^18.1^29.8^36.6^34.7^48.7^70.0^9.2^8.6^35.4^52.4^29.4^50.2^20.4^104.8^0.0^0.0^33.0^1.7^49.2^76.8^20.3
