opponent, outcome, home/away, team1
Grand Canyon, W, H,Kentucky
Buffalo, W, H,Kentucky
Kansas, W, N,Kentucky
Boston University, W, H,Kentucky
Montana St., W, H,Kentucky
UT Arlington, W, H,Kentucky
Providence, W, H,Kentucky
Texas, W, H,Kentucky
Eastern Kentucky, W, H,Kentucky
Columbia, W, H,Kentucky
North Carolina, W, H,Kentucky
UCLA, W, N,Kentucky
Louisville, W, A,Kentucky
Mississippi, W, H,Kentucky
Texas A&M, W, A,Kentucky
Missouri, W, H,Kentucky
Alabama, W, A,Kentucky
Vanderbilt, W, H,Kentucky
South Carolina, W, A,Kentucky
Missouri, W, A,Kentucky
Alabama, W, H,Kentucky
Georgia, W, H,Kentucky
Florida, W, A,Kentucky
LSU, W, A,Kentucky
South Carolina, W, H,Kentucky
Tennessee, W, A,Kentucky
Auburn, W, H,Kentucky
Mississippi St., W, A,Kentucky
Arkansas, W, H,Kentucky
Georgia, W, A,Kentucky
Florida, W, H,Kentucky
Florida, W, N,Kentucky
Auburn, W, N,Kentucky
Arkansas, W, N,Kentucky
Hampton, W, H,Kentucky
Cincinnati, W, N,Kentucky
West Virginia, W, N,Kentucky
Notre Dame, W, N,Kentucky
Wisconsin, L, N,Kentucky
Northern Kentucky, W, H,Wisconsin
Chattanooga, W, H,Wisconsin
Green Bay, W, H,Wisconsin
Boise St., W, H,Wisconsin
UAB, W, N,Wisconsin
Georgetown, W, N,Wisconsin
Oklahoma, W, N,Wisconsin
Duke, L, H,Wisconsin
Marquette, W, A,Wisconsin
Milwaukee, W, A,Wisconsin
Nicholls St., W, H,Wisconsin
California, W, A,Wisconsin
Buffalo, W, H,Wisconsin
Penn St., W, H,Wisconsin
Northwestern, W, A,Wisconsin
Purdue, W, H,Wisconsin
Rutgers, L, A,Wisconsin
Nebraska, W, H,Wisconsin
Iowa, W, H,Wisconsin
Michigan, W, A,Wisconsin
Iowa, W, A,Wisconsin
Indiana, W, H,Wisconsin
Northwestern, W, H,Wisconsin
Nebraska, W, A,Wisconsin
Illinois, W, H,Wisconsin
Penn St., W, A,Wisconsin
Minnesota, W, H,Wisconsin
Maryland, L, A,Wisconsin
Michigan St., W, H,Wisconsin
Minnesota, W, A,Wisconsin
Ohio St., W, A,Wisconsin
Michigan, W, N,Wisconsin
Purdue, W, N,Wisconsin
Michigan St., W, N,Wisconsin
Coastal Carolina, W, N,Wisconsin
Oregon, W, N,Wisconsin
North Carolina, W, N,Wisconsin
Arizona, W, N,Wisconsin
Kentucky, W, N,Wisconsin
Duke, L, N,Wisconsin
Presbyterian, W, H,Duke
Fairfield, W, H,Duke
Michigan St., W, N,Duke
Temple, W, N,Duke
Stanford, W, N,Duke
Furman, W, H,Duke
Army, W, H,Duke
Wisconsin, W, A,Duke
Elon, W, H,Duke
Connecticut, W, N,Duke
Toledo, W, H,Duke
Wofford, W, H,Duke
Boston College, W, H,Duke
Wake Forest, W, A,Duke
North Carolina St., L, A,Duke
Miami FL, L, H,Duke
Louisville, W, A,Duke
Pittsburgh, W, H,Duke
St. John's, W, A,Duke
Notre Dame, L, A,Duke
Virginia, W, A,Duke
Georgia Tech, W, H,Duke
Notre Dame, W, H,Duke
Florida St., W, A,Duke
Syracuse, W, A,Duke
North Carolina, W, H,Duke
Clemson, W, H,Duke
Virginia Tech, W, A,Duke
Syracuse, W, H,Duke
Wake Forest, W, H,Duke
North Carolina, W, A,Duke
