rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM,misc,
1, Ohio St., B10, 34-3, +8.82, 125.0, 91.5, 63.8, +.031, +8.82, 108.9, 100.0, -4.08, 68.0^68.7^16.8^18.1^111.2^105.6^101.0^101.2^68.0^111.2^52.2^19.2^29.7^38.1^101.0^48.9^17.5^28.8^29.4^35.6^51.6^68.2^8.2^7.2^52.5^33.1^111.2^35.6^51.6^68.2^8.2^7.2^52.5^33.1^111.2^19.9^52.9^27.2^16.7^46.0^37.4^111.2^101.0^68.0^-.054^+6.78^107.4^100.6^-4.55
2, Duke, ACC, 32-5, +8.43, 119.7, 91.3, 68.6, +.017, +8.43, 107.3, 98.9, +3.48, 68.3^69.8^17.1^17.3^121.0^115.7^96.8^100.7^68.3^121.0^54.8^16.3^31.7^39.3^96.8^47.4^17.3^29.8^31.2^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^21.5^47.3^31.2^18.9^59.5^21.6^121.0^96.8^68.3^+.014^+11.43^111.0^99.6^+0.03
3, Kansas, B12, 35-3, +7.75, 118.9, 90.6, 68.4, +.060, +7.75, 108.2, 100.5, -0.29, 70.2^71.2^15.9^17.7^121.9^115.6^94.5^99.8^70.2^121.9^56.1^17.6^34.1^36.0^94.5^48.1^18.6^29.7^30.0^40.4^53.6^67.8^9.4^9.4^54.5^35.9^121.9^40.4^53.6^67.8^9.4^9.4^54.5^35.9^121.9^17.9^50.3^31.9^18.2^50.7^31.1^121.9^94.5^70.2^+.067^+12.43^111.2^98.8^+2.39
4, Pittsburgh, BE, 28-6, +8.17, 120.6, 93.5, 61.8, -.023, +8.17, 107.6, 99.4, -3.68, 65.4^67.2^17.9^17.8^112.4^106.5^103.7^109.7^65.4^112.4^51.4^17.6^28.2^39.4^103.7^51.3^14.3^29.5^26.6^36.1^49.6^73.3^10.3^7.7^58.6^39.9^112.4^36.1^49.6^73.3^10.3^7.7^58.6^39.9^112.4^21.9^45.3^32.8^15.5^52.7^31.8^112.4^103.7^65.4^+.044^+10.42^110.9^100.4^+0.08
5, Texas, B12, 28-8, +7.61, 115.5, 89.6, 65.5, -.058, +7.61, 107.5, 99.9, +0.60, 67.6^68.5^17.0^18.0^104.2^97.9^93.7^100.7^67.6^104.2^48.8^19.6^28.4^34.5^93.7^48.1^18.3^31.2^30.0^29.2^51.3^65.0^8.6^9.4^46.5^33.6^104.2^29.2^51.3^65.0^8.6^9.4^46.5^33.6^104.2^18.7^56.8^24.5^18.3^53.0^28.8^104.2^93.7^67.6^-.105^+13.92^112.8^98.9^+1.81
6, Wisconsin, B10, 25-9, +10.81, 122.3, 96.5, 56.9, -.003, +10.81, 110.0, 99.2, -3.58, 63.4^64.4^19.9^17.4^115.1^110.9^92.1^95.5^63.4^115.1^52.1^17.0^35.8^32.9^92.1^47.5^19.5^25.8^28.0^35.9^51.1^64.4^8.5^8.2^51.8^36.9^115.1^35.9^51.1^64.4^8.5^8.2^51.8^36.9^115.1^16.9^51.4^31.7^17.9^49.5^32.6^115.1^92.1^63.4^-.003^+10.00^110.6^100.6^-1.29
7, Kentucky, SEC, 29-9, +9.81, 117.8, 92.0, 65.0, -.044, +9.81, 108.4, 98.5, +4.46, 72.0^74.2^15.3^17.1^119.1^113.8^91.4^96.0^72.0^119.1^52.9^15.7^33.5^40.9^91.4^47.5^19.2^27.7^33.5^35.3^52.9^70.3^7.7^6.4^51.6^31.6^119.1^35.3^52.9^70.3^7.7^6.4^51.6^31.6^119.1^21.4^53.8^24.8^19.3^54.8^26.0^119.1^91.4^72.0^+.006^+10.98^110.5^99.5^+3.74
8, San Diego St., MWC, 34-3, +7.48, 114.1, 89.1, 62.3, +.059, +7.48, 107.6, 100.1, +4.10, 64.9^66.7^17.5^18.6^104.0^101.8^95.1^94.0^64.9^104.0^47.5^17.5^30.5^35.3^95.1^44.8^19.0^29.1^32.5^31.6^47.5^70.1^10.4^7.9^45.6^39.8^104.0^31.6^47.5^70.1^10.4^7.9^45.6^39.8^104.0^20.7^47.8^31.5^20.3^48.6^31.1^104.0^95.1^64.9^-.101^+0.95^104.5^103.6^-1.88
9, Purdue, B10, 26-8, +10.16, 115.9, 91.1, 66.0, +.007, +10.16, 108.8, 98.7, +1.21, 69.1^70.0^16.6^17.7^117.0^112.6^93.9^96.7^69.1^117.0^55.7^18.4^30.8^33.3^93.9^47.7^16.6^24.4^22.9^40.3^52.7^75.7^8.6^9.2^65.4^38.3^117.0^40.3^52.7^75.7^8.6^9.2^65.4^38.3^117.0^18.5^47.7^33.9^14.5^55.2^30.3^117.0^93.9^69.1^+.016^+9.00^109.6^100.6^-2.38
10, Connecticut, BE, 32-9, +12.78, 115.8, 91.9, 64.5, +.048, +12.78, 110.1, 97.4, -0.77, 65.0^65.2^18.2^18.6^105.2^101.4^98.7^100.5^65.0^105.2^48.5^18.7^29.9^34.5^98.7^45.6^16.1^30.5^32.0^35.4^46.1^71.6^7.8^9.5^55.7^34.8^105.2^35.4^46.1^71.6^7.8^9.5^55.7^34.8^105.2^20.3^49.4^30.3^19.7^45.9^34.3^105.2^98.7^65.0^-.047^+5.67^107.4^101.7^+5.25
