Duke,UCF
Mississippi St.,Virginia Tech
Maryland,LSU
Minnesota,Michigan St.
,
Gonzaga,Syracuse
Marquette,Florida St.
Buffalo,Texas Tech
Nevada,Michigan
,
Virginia,Oklahoma
Wisconsin,Kansas St.
Villanova,Purdue
Cincinnati,Tennessee
,
North Carolina,Washington
Auburn,Kansas
Iowa St.,Houston
Wofford,Kentucky
