opponent, outcome, home/away, team1
Penn, W, H,North Carolina
Kentucky, W, H,North Carolina
UC Santa Barbara, W, A,North Carolina
Oregon, W, N,North Carolina
Notre Dame, W, N,North Carolina
UNC Asheville, W, H,North Carolina
Michigan St., W, A,North Carolina
Oral Roberts, W, H,North Carolina
Evansville, W, H,North Carolina
Valparaiso, W, N,North Carolina
Rutgers, W, H,North Carolina
Nevada, W, A,North Carolina
Boston College, L, H,North Carolina
College of Charleston, W, H,North Carolina
Wake Forest, L, A,North Carolina
Virginia, W, A,North Carolina
Miami FL, W, H,North Carolina
Clemson, W, H,North Carolina
Florida St., W, A,North Carolina
North Carolina St., W, A,North Carolina
Maryland, W, H,North Carolina
Virginia, W, H,North Carolina
Duke, W, A,North Carolina
Miami FL, W, A,North Carolina
North Carolina St., W, H,North Carolina
Maryland, L, A,North Carolina
Georgia Tech, W, H,North Carolina
Virginia Tech, W, A,North Carolina
Duke, W, H,North Carolina
Virginia Tech, W, N,North Carolina
Florida St., L, N,North Carolina
Radford, W, H,North Carolina
LSU, W, H,North Carolina
Gonzaga, W, N,North Carolina
Oklahoma, W, N,North Carolina
Villanova, W, N,North Carolina
Michigan St., W, N,North Carolina
Western Carolina, W, H,Connecticut
Hartford, W, H,Connecticut
La Salle, W, N,Connecticut
Miami FL, W, N,Connecticut
Wisconsin, W, N,Connecticut
Bryant, W, H,Connecticut
Delaware St., W, H,Connecticut
Buffalo, W, A,Connecticut
Stony Brook, W, H,Connecticut
Gonzaga, W, A,Connecticut
Fairfield, W, H,Connecticut
Georgetown, L, H,Connecticut
Rutgers, W, H,Connecticut
West Virginia, W, A,Connecticut
Cincinnati, W, A,Connecticut
St. John's, W, A,Connecticut
Seton Hall, W, H,Connecticut
Villanova, W, H,Connecticut
Notre Dame, W, A,Connecticut
DePaul, W, A,Connecticut
Providence, W, H,Connecticut
Louisville, W, A,Connecticut
Michigan, W, H,Connecticut
Syracuse, W, H,Connecticut
Seton Hall, W, A,Connecticut
Pittsburgh, L, H,Connecticut
South Florida, W, H,Connecticut
Marquette, W, A,Connecticut
Notre Dame, W, H,Connecticut
Pittsburgh, L, A,Connecticut
Syracuse, L, N,Connecticut
Chattanooga, W, N,Connecticut
Texas A&M, W, N,Connecticut
Purdue, W, N,Connecticut
Missouri, W, N,Connecticut
Michigan St., L, N,Connecticut
Fairleigh Dickinson, W, H,Pittsburgh
Miami OH, W, H,Pittsburgh
Akron, W, H,Pittsburgh
Belmont, W, H,Pittsburgh
Texas Tech, W, N,Pittsburgh
Washington St., W, N,Pittsburgh
Duquesne, W, H,Pittsburgh
Vermont, W, H,Pittsburgh
UMBC, W, H,Pittsburgh
Siena, W, H,Pittsburgh
Florida St., W, A,Pittsburgh
Rutgers, W, A,Pittsburgh
Georgetown, W, A,Pittsburgh
St. John's, W, H,Pittsburgh
South Florida, W, H,Pittsburgh
Louisville, L, A,Pittsburgh
Syracuse, W, H,Pittsburgh
West Virginia, W, A,Pittsburgh
Villanova, L, A,Pittsburgh
Notre Dame, W, H,Pittsburgh
Robert Morris, W, H,Pittsburgh
DePaul, W, A,Pittsburgh
West Virginia, W, H,Pittsburgh
Cincinnati, W, H,Pittsburgh
Connecticut, W, A,Pittsburgh
DePaul, W, H,Pittsburgh
Providence, L, A,Pittsburgh
Seton Hall, W, A,Pittsburgh
Marquette, W, H,Pittsburgh
Connecticut, W, H,Pittsburgh
West Virginia, L, N,Pittsburgh
East Tennessee St., W, N,Pittsburgh
Oklahoma St., W, N,Pittsburgh
Xavier, W, N,Pittsburgh
Villanova, L, N,Pittsburgh
Fairfield, W, H,Memphis
Massachusetts, W, H,Memphis
Chattanooga, W, N,Memphis
Seton Hall, W, N,Memphis
Xavier, L, N,Memphis
Marist, W, H,Memphis
Georgetown, L, A,Memphis
Arkansas Little Rock, W, H,Memphis
Syracuse, L, H,Memphis
Drexel, W, H,Memphis
Cincinnati, W, H,Memphis
Northeastern, W, H,Memphis
Lamar, W, H,Memphis
Marshall, W, H,Memphis
UCF, W, A,Memphis
Tulsa, W, A,Memphis
