rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM,misc,
1, Villanova, BE, 36-4, +11.31, 127.8, 94.0, 68.7, -.018, +11.31, 111.3, 100.0, +3.98, 64.1^65.5^18.8^17.9^122.4^117.7^92.5^96.0^64.1^122.4^57.5^17.0^30.2^35.0^92.5^48.1^20.1^27.8^22.1^36.9^59.2^79.0^6.6^7.8^52.3^43.3^122.4^36.9^59.2^79.0^6.6^7.8^52.3^43.3^122.4^19.4^47.1^33.6^13.9^52.7^33.4^122.4^92.5^64.1^+.010^+9.33^109.8^100.5^+3.55
2, Virginia, ACC, 31-3, +9.24, 115.2, 85.6, 59.4, +.048, +9.24, 110.0, 100.7, -0.08, 59.2^60.3^21.3^18.3^112.2^108.0^88.0^92.1^59.2^112.2^52.4^15.6^28.3^26.0^88.0^46.1^20.7^24.5^33.8^38.5^49.7^70.9^7.5^8.1^56.4^33.0^112.2^38.5^49.7^70.9^7.5^8.1^56.4^33.0^112.2^15.0^54.1^31.0^20.4^46.9^32.7^112.2^88.0^59.2^-.030^+11.68^111.5^99.8^+2.29
3, Duke, ACC, 29-8, +10.60, 122.4, 93.6, 69.7, -.034, +10.60, 110.4, 99.8, +4.09, 68.3^69.8^17.1^17.3^121.0^115.7^96.8^100.7^68.3^121.0^54.8^16.3^31.7^39.3^96.8^47.4^17.3^29.8^31.2^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^21.5^47.3^31.2^18.9^59.5^21.6^121.0^96.8^68.3^+.014^+11.43^111.0^99.6^+0.03
4, Cincinnati, Amer, 31-5, +3.46, 113.4, 86.8, 64.5, -.019, +3.46, 106.9, 103.4, -4.21, 63.5^65.1^18.7^18.1^114.9^112.7^92.8^93.9^63.5^114.9^52.0^15.3^35.5^32.5^92.8^45.2^20.2^29.4^29.1^34.5^52.1^68.6^8.3^5.5^57.7^36.1^114.9^34.5^52.1^68.6^8.3^5.5^57.7^36.1^114.9^17.7^52.7^29.6^19.2^46.7^34.1^114.9^92.8^63.5^+.026^+4.17^107.1^103.0^-0.47
5, Purdue, B10, 30-7, +9.02, 122.7, 96.4, 67.2, +.006, +9.02, 109.1, 100.1, +0.69, 69.1^70.0^16.6^17.7^117.0^112.6^93.9^96.7^69.1^117.0^55.7^18.4^30.8^33.3^93.9^47.7^16.6^24.4^22.9^40.3^52.7^75.7^8.6^9.2^65.4^38.3^117.0^40.3^52.7^75.7^8.6^9.2^65.4^38.3^117.0^18.5^47.7^33.9^14.5^55.2^30.3^117.0^93.9^69.1^+.016^+9.00^109.6^100.6^-2.38
6, Michigan St., B10, 30-5, +6.64, 119.2, 93.8, 67.0, +.038, +6.64, 108.6, 101.9, -5.03, 66.9^68.1^17.5^17.6^111.4^105.3^95.9^100.5^66.9^111.4^54.0^20.5^29.2^33.5^95.9^46.6^15.9^27.3^34.7^37.3^52.9^67.0^8.8^8.8^65.3^38.0^111.4^37.3^52.9^67.0^8.8^8.8^65.3^38.0^111.4^17.2^50.3^32.6^21.3^50.2^28.6^111.4^95.9^66.9^-.011^+10.99^110.6^99.6^+4.01
7, Michigan, B10, 33-8, +10.32, 114.7, 90.5, 64.9, +.052, +10.32, 111.4, 101.1, -4.83, 63.1^63.7^19.6^18.2^122.3^116.6^99.2^103.1^63.1^122.3^57.0^14.2^24.7^30.1^99.2^51.9^19.6^30.0^27.2^38.5^56.3^77.9^8.3^6.6^52.8^45.1^122.3^38.5^56.3^77.9^8.3^6.6^52.8^45.1^122.3^17.0^45.0^38.0^15.2^58.2^26.6^122.3^99.2^63.1^-.025^+10.76^110.3^99.5^-0.53
8, North Carolina, ACC, 26-11, +13.26, 120.3, 96.7, 71.2, -.011, +13.26, 111.6, 98.3, +7.58, 71.3^72.4^15.4^17.7^120.7^115.4^92.5^97.7^71.3^120.7^51.7^16.2^41.3^34.3^92.5^48.1^18.6^25.0^31.6^35.5^51.0^70.2^9.8^8.6^59.2^30.3^120.7^35.5^51.0^70.2^9.8^8.6^59.2^30.3^120.7^18.9^55.8^25.3^19.3^47.2^33.6^120.7^92.5^71.3^+.037^+12.49^112.0^99.5^+3.87
9, Kansas, B12, 31-8, +12.41, 120.9, 97.4, 68.8, +.076, +12.41, 111.7, 99.3, +3.55, 70.2^71.2^15.9^17.7^121.9^115.6^94.5^99.8^70.2^121.9^56.1^17.6^34.1^36.0^94.5^48.1^18.6^29.7^30.0^40.4^53.6^67.8^9.4^9.4^54.5^35.9^121.9^40.4^53.6^67.8^9.4^9.4^54.5^35.9^121.9^17.9^50.3^31.9^18.2^50.7^31.1^121.9^94.5^70.2^+.067^+12.43^111.2^98.8^+2.39
10, Gonzaga, WCC, 32-5, +1.57, 118.1, 95.1, 69.4, +.009, +1.57, 106.4, 104.8, +3.12, 70.1^70.8^15.9^18.1^118.4^116.7^86.3^86.8^70.1^118.4^56.6^16.2^30.0^39.0^86.3^41.1^17.1^26.2^26.9^38.2^56.3^71.7^7.8^7.6^51.8^32.8^118.4^38.2^56.3^71.7^7.8^7.6^51.8^32.8^118.4^19.8^53.6^26.6^17.7^54.4^27.9^118.4^86.3^70.1^+.020^+2.99^106.2^103.3^+1.01
11, Texas Tech, B12, 27-10, +10.31, 113.3, 90.8, 66.7, -.007, +10.31, 110.7, 100.4, -5.24, 63.8^66.0^18.9^17.8^112.6^109.4^97.5^100.1^63.8^112.6^52.9^16.5^30.1^35.6^97.5^50.7^20.3^25.7^35.6^36.9^51.7^73.3^6.6^7.7^53.5^32.3^112.6^36.9^51.7^73.3^6.6^7.7^53.5^32.3^112.6^19.8^53.1^27.1^20.0^44.4^35.6^112.6^97.5^63.8^-.082^+7.89^109.5^101.6^-11.69
12, West Virginia, B12, 26-11, +10.59, 119.4, 96.9, 69.2, -.014, +10.59, 109.9, 99.3, -4.72, 69.9^71.4^17.8^15.7^116.5^111.9^89.4^92.3^69.9^116.5^51.3^17.0^37.9^38.9^89.4^48.8^27.6^31.9^42.5^36.2^49.8^68.5^9.0^7.8^57.3^32.5^116.5^36.2^49.8^68.5^9.0^7.8^57.3^32.5^116.5^20.6^52.0^27.4^22.9^46.7^30.4^116.5^89.4^69.9^-.043^+10.84^110.1^99.2^-7.97
13, Tennessee, SEC, 26-9, +11.01, 114.6, 92.4, 66.0, +.019, +11.01, 111.2, 100.2, +7.10, 69.4^71.4^17.3^16.3^110.1^103.3^97.5^101.4^69.4^110.1^46.8^17.4^31.8^42.9^97.5^48.6^19.3^30.1^43.3^32.4^46.0^72.7^9.4^8.3^55.4^30.6^110.1^32.4^46.0^72.7^9.4^8.3^55.4^30.6^110.1^25.0^51.1^23.9^23.7^48.4^28.0^110.1^97.5^69.4^-.053^+11.20^109.3^98.1^+6.58
14, Clemson, ACC, 25-10, +10.22, 114.2, 92.6, 66.1, -.009, +10.22, 110.6, 100.4, -1.91, 66.4^67.7^17.2^18.1^114.9^110.2^100.5^105.2^66.4^114.9^51.1^15.8^31.4^34.3^100.5^51.9^20.1^32.2^24.2^35.7^49.8^73.1^8.8^7.5^47.5^34.5^114.9^35.7^49.8^73.1^8.8^7.5^47.5^34.5^114.9^19.7^51.2^29.1^15.1^52.6^32.3^114.9^100.5^66.4^-.064^+10.32^110.8^100.5^+2.12
15, Xavier, BE, 29-6, +9.35, 120.1, 98.6, 70.5, +.091, +9.35, 109.9, 100.6, +1.84, 67.2^68.2^17.6^17.6^115.7^109.1^99.0^104.3^67.2^115.7^51.9^18.4^34.5^41.1^99.0^51.6^17.5^25.5^33.4^34.5^52.0^68.8^10.4^9.3^57.1^36.1^115.7^34.5^52.0^68.8^10.4^9.3^57.1^36.1^115.7^21.4^50.4^28.2^18.4^50.2^31.3^115.7^99.0^67.2^+.044^+11.73^111.2^99.5^+5.32
16, Ohio St., B10, 25-9, +8.75, 116.0, 94.9, 67.0, +.020, +8.75, 109.8, 101.1, +0.26, 68.0^68.7^16.8^18.1^111.2^105.6^101.0^101.2^68.0^111.2^52.2^19.2^29.7^38.1^101.0^48.9^17.5^28.8^29.4^35.6^51.6^68.2^8.2^7.2^52.5^33.1^111.2^35.6^51.6^68.2^8.2^7.2^52.5^33.1^111.2^19.9^52.9^27.2^16.7^46.0^37.4^111.2^101.0^68.0^-.054^+6.78^107.4^100.6^-4.55
17, Kentucky, SEC, 26-11, +10.91, 115.8, 95.4, 68.8, -.008, +10.91, 110.8, 99.8, +4.67, 72.0^74.2^15.3^17.1^119.1^113.8^91.4^96.0^72.0^119.1^52.9^15.7^33.5^40.9^91.4^47.5^19.2^27.7^33.5^35.3^52.9^70.3^7.7^6.4^51.6^31.6^119.1^35.3^52.9^70.3^7.7^6.4^51.6^31.6^119.1^21.4^53.8^24.8^19.3^54.8^26.0^119.1^91.4^72.0^+.006^+10.98^110.5^99.5^+3.74
18, Houston, Amer, 27-8, +3.90, 114.6, 94.4, 68.4, -.015, +3.90, 106.6, 102.7, -3.08, 65.4^65.8^18.3^18.2^113.5^111.4^99.9^98.5^65.4^113.5^51.7^14.9^31.8^28.6^99.9^47.1^20.7^30.7^36.8^39.4^47.7^71.7^8.0^7.2^47.8^35.8^113.5^39.4^47.7^71.7^8.0^7.2^47.8^35.8^113.5^16.5^49.4^34.1^22.0^46.5^31.5^113.5^99.9^65.4^-.032^+2.32^105.0^102.7^-3.28
19, Penn St., B10, 26-13, +7.60, 114.3, 95.1, 67.3, -.050, +7.60, 109.7, 102.1, -6.36, 70.4^71.4^15.8^17.8^104.5^98.3^97.2^100.0^70.4^104.5^47.2^17.9^26.6^32.8^97.2^49.2^20.3^30.6^31.2^33.9^45.4^74.5^10.4^9.0^54.8^34.1^104.5^33.9^45.4^74.5^10.4^9.0^54.8^34.1^104.5^20.6^50.3^29.2^18.4^50.8^30.8^104.5^97.2^70.4^-.013^+8.52^108.5^100.0^+0.43
20, Butler, BE, 21-14, +11.21, 116.2, 97.2, 67.6, -.047, +11.21, 112.0, 100.8, +0.11, 65.9^67.2^17.9^17.8^117.7^112.5^97.0^101.7^65.9^117.7^54.6^15.0^27.2^37.1^97.0^50.8^19.6^27.0^37.0^36.6^54.5^74.1^7.3^7.4^50.0^37.6^117.7^36.6^54.5^74.1^7.3^7.4^50.0^37.6^117.7^20.1^49.7^30.2^20.2^50.1^29.6^117.7^97.0^65.9^+.002^+10.81^110.8^100.0^+5.12
21, Wichita St., Amer, 25-8, +5.13, 121.0, 101.9, 68.6, -.026, +5.13, 107.3, 102.2, +1.55, 68.0^69.3^17.1^17.4^118.7^116.6^92.6^90.5^68.0^118.7^54.1^16.3^34.3^40.3^92.6^43.8^19.4^24.2^35.2^40.2^50.5^73.3^9.1^7.5^58.9^36.6^118.7^40.2^50.5^73.3^9.1^7.5^58.9^36.6^118.7^21.5^46.5^32.0^21.8^46.0^32.2^118.7^92.6^68.0^-.021^+1.50^105.0^103.5^-0.32
22, Florida, SEC, 21-13, +10.74, 114.5, 95.5, 67.1, -.059, +10.74, 110.2, 99.5, +4.57, 69.0^70.1^16.2^18.1^116.9^109.8^89.5^93.8^69.0^116.9^51.5^16.9^32.1^40.2^89.5^45.8^21.0^29.5^34.0^35.8^50.3^72.9^7.5^7.8^47.3^36.6^116.9^35.8^50.3^72.9^7.5^7.8^47.3^36.6^116.9^22.1^48.1^29.7^20.8^54.4^24.8^116.9^89.5^69.0^-.041^+12.46^110.3^97.8^+8.19
