rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM,misc,
1, North Carolina, ACC, 34-4, +9.91, 123.2, 92.1, 72.9, -.011, +9.91, 108.2, 98.3, +1.06, 71.3^72.4^15.4^17.7^120.7^115.4^92.5^97.7^71.3^120.7^51.7^16.2^41.3^34.3^92.5^48.1^18.6^25.0^31.6^35.5^51.0^70.2^9.8^8.6^59.2^30.3^120.7^35.5^51.0^70.2^9.8^8.6^59.2^30.3^120.7^18.9^55.8^25.3^19.3^47.2^33.6^120.7^92.5^71.3^+.037^+12.49^112.0^99.5^+3.87
2, Connecticut, BE, 31-5, +10.37, 116.0, 86.8, 67.1, +.024, +10.37, 109.0, 98.6, -1.68, 65.0^65.2^18.2^18.6^105.2^101.4^98.7^100.5^65.0^105.2^48.5^18.7^29.9^34.5^98.7^45.6^16.1^30.5^32.0^35.4^46.1^71.6^7.8^9.5^55.7^34.8^105.2^35.4^46.1^71.6^7.8^9.5^55.7^34.8^105.2^20.3^49.4^30.3^19.7^45.9^34.3^105.2^98.7^65.0^-.047^+5.67^107.4^101.7^+5.25
3, Pittsburgh, BE, 31-5, +10.11, 121.2, 92.3, 65.2, -.012, +10.11, 108.1, 98.0, +0.79, 65.4^67.2^17.9^17.8^112.4^106.5^103.7^109.7^65.4^112.4^51.4^17.6^28.2^39.4^103.7^51.3^14.3^29.5^26.6^36.1^49.6^73.3^10.3^7.7^58.6^39.9^112.4^36.1^49.6^73.3^10.3^7.7^58.6^39.9^112.4^21.9^45.3^32.8^15.5^52.7^31.8^112.4^103.7^65.4^+.044^+10.42^110.9^100.4^+0.08
4, Memphis, CUSA, 33-4, +4.73, 112.8, 84.2, 65.9, -.009, +4.73, 105.5, 100.8, +4.19, 68.4^70.0^17.1^17.2^107.0^104.3^101.0^100.4^68.4^107.0^48.9^16.3^31.6^36.7^101.0^48.8^19.3^30.6^33.2^29.5^51.1^68.3^10.1^8.2^59.6^31.8^107.0^29.5^51.1^68.3^10.1^8.2^59.6^31.8^107.0^20.4^56.7^22.9^18.9^48.5^32.6^107.0^101.0^68.4^+.026^+1.65^104.7^103.0^-4.46
5, Louisville, BE, 31-6, +9.57, 111.2, 85.2, 66.9, +.068, +9.57, 108.6, 99.0, -0.19, 67.9^68.4^16.2^18.6^117.2^112.3^91.7^96.3^67.9^117.2^51.3^16.0^36.8^33.9^91.7^45.8^19.6^28.5^38.8^35.5^50.5^68.6^8.3^7.2^48.4^32.2^117.2^35.5^50.5^68.6^8.3^7.2^48.4^32.2^117.2^18.5^54.3^27.2^22.7^48.8^28.5^117.2^91.7^67.9^-.023^+11.14^111.6^100.5^+4.20
6, Missouri, B12, 31-7, +7.96, 116.6, 91.8, 70.9, +.031, +7.96, 106.4, 98.4, -3.76, 68.0^70.4^17.0^17.0^101.5^97.3^100.9^102.8^68.0^101.5^45.2^16.9^28.2^38.7^100.9^49.6^19.2^30.2^42.6^30.4^45.0^68.3^12.6^7.4^51.9^39.0^101.5^30.4^45.0^68.3^12.6^7.4^51.9^39.0^101.5^22.6^46.9^30.5^22.6^45.6^31.8^101.5^100.9^68.0^-.160^+6.83^108.1^101.3^-5.07
7, Oklahoma, B12, 30-6, +9.49, 118.3, 93.7, 66.6, +.018, +9.49, 108.3, 98.9, +0.46, 70.0^71.1^16.3^17.4^107.4^100.3^95.9^102.7^70.0^107.4^47.4^19.0^30.8^36.7^95.9^50.0^18.5^29.8^33.5^34.3^45.7^72.1^10.7^9.7^41.8^30.0^107.4^34.3^45.7^72.1^10.7^9.7^41.8^30.0^107.4^21.8^52.7^25.5^18.6^47.6^33.8^107.4^95.9^70.0^-.102^+14.13^112.5^98.3^+1.16
8, Gonzaga, WCC, 28-6, +4.63, 117.5, 93.0, 67.1, +.003, +4.63, 105.1, 100.5, +10.61, 70.1^70.8^15.9^18.1^118.4^116.7^86.3^86.8^70.1^118.4^56.6^16.2^30.0^39.0^86.3^41.1^17.1^26.2^26.9^38.2^56.3^71.7^7.8^7.6^51.8^32.8^118.4^38.2^56.3^71.7^7.8^7.6^51.8^32.8^118.4^19.8^53.6^26.6^17.7^54.4^27.9^118.4^86.3^70.1^+.020^+2.99^106.2^103.3^+1.01
9, Michigan St., B10, 31-7, +12.33, 114.3, 89.9, 66.5, +.091, +12.33, 109.4, 97.1, +5.81, 66.9^68.1^17.5^17.6^111.4^105.3^95.9^100.5^66.9^111.4^54.0^20.5^29.2^33.5^95.9^46.6^15.9^27.3^34.7^37.3^52.9^67.0^8.8^8.8^65.3^38.0^111.4^37.3^52.9^67.0^8.8^8.8^65.3^38.0^111.4^17.2^50.3^32.6^21.3^50.2^28.6^111.4^95.9^66.9^-.011^+10.99^110.6^99.6^+4.01
10, Duke, ACC, 30-7, +10.23, 117.5, 93.2, 66.3, +.053, +10.23, 108.5, 98.3, +3.18, 68.3^69.8^17.1^17.3^121.0^115.7^96.8^100.7^68.3^121.0^54.8^16.3^31.7^39.3^96.8^47.4^17.3^29.8^31.2^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^21.5^47.3^31.2^18.9^59.5^21.6^121.0^96.8^68.3^+.014^+11.43^111.0^99.6^+0.03
