date, rank, opponent, outcome, team_score, opp_score, home/away, rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM, opp_rank, opp_name, opp_conf, opp_win_loss, opp_adjEM, opp_adjO, opp_adjD, opp_adjT, opp_luck, opp_adjEM, opp_oppO, opp_oppD, opp_noncon_adjEM
Sat Nov 22, 80, Detroit, W,  67, 56, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,80, Detroit, Horz, 19-11, -0.14, 106.4, 97.2, 59.1, -.009, -0.14, 103.8, 104.0, +2.76
Thu Nov 27, 82, Pacific, W,  82, 69, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,82, Pacific, BW, 25-8, +0.28, 108.6, 99.7, 63.6, +.096, +0.28, 103.4, 103.1, +3.56
Fri Nov 28, 181, Liberty, W,  76, 47, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,181, Liberty, BSth, 18-15, -5.73, 98.3, 100.8, 67.5, +.000, -5.73, 100.5, 106.2, +5.71
Sat Nov 29, 57, Purdue, L,  78, 68, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,57, Purdue, B10, 17-14, +5.31, 104.6, 93.0, 62.7, -.066, +5.31, 106.9, 101.6, -2.70
Wed Dec 3, 34, Michigan St., W,  72, 50, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,34, Michigan St., B10, 18-12, +8.92, 117.2, 101.5, 64.0, -.014, +8.92, 107.1, 98.2, +7.60
Sat Dec 6, 200, St. John's, W,  79, 58, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,200, St. John's, BE, 6-21, +7.54, 98.9, 103.2, 65.0, -.017, +7.54, 106.8, 99.3, +0.34
Sun Dec 14, 162, Portland, W,  84, 43, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,162, Portland, WCC, 11-17, +3.54, 105.0, 105.6, 65.9, +.004, +3.54, 105.8, 102.3, +5.83
Wed Dec 17, 108, Princeton, W,  69, 51, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,108, Princeton, Ivy, 20-8, -4.32, 106.3, 101.4, 56.4, +.033, -4.32, 100.2, 104.6, -0.07
Sat Dec 20, 17, Texas, W,  89, 61, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,17, Texas, B12, 25-8, +9.27, 115.6, 94.1, 64.7, +.038, +9.27, 109.1, 99.8, +0.80
Mon Dec 29, 137, Davidson, W,  88, 54, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,137, Davidson, SC, 17-12, -0.03, 103.6, 102.1, 66.3, +.043, -0.03, 102.8, 102.9, +15.04
Sat Jan 3, 107, Clemson, W,  73, 54, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,107, Clemson, ACC, 10-18, +13.44, 102.1, 97.1, 64.9, +.022, +13.44, 110.6, 97.2, -1.35
Tue Jan 6, 106, Fairfield, W,  99, 58, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,106, Fairfield, MAAC, 19-11, -2.12, 102.2, 97.3, 62.1, +.025, -2.12, 102.9, 105.0, +2.62
Sun Jan 11, 66, Virginia, W,  93, 71, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,66, Virginia, ACC, 18-13, +10.68, 109.3, 99.1, 68.7, +.100, +10.68, 108.8, 98.1, -7.81
Thu Jan 15, 9, North Carolina St., W,  76, 57, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,9, North Carolina St., ACC, 21-10, +12.81, 119.1, 95.1, 62.1, -.072, +12.81, 109.5, 96.7, -0.59
Sat Jan 17, 15, Wake Forest, W,  84, 72, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,15, Wake Forest, ACC, 21-10, +13.52, 121.6, 99.9, 70.4, -.019, +13.52, 109.6, 96.1, +1.79
Wed Jan 21, 22, Maryland, W,  68, 60, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,22, Maryland, ACC, 20-12, +14.09, 110.9, 91.1, 71.1, -.009, +14.09, 112.1, 98.0, -1.13
Sat Jan 24, 124, Georgetown, W,  85, 66, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,124, Georgetown, BE, 13-15, +2.93, 99.1, 96.0, 68.4, -.053, +2.93, 104.2, 101.3, -10.85
Thu Jan 29, 26, Florida St., W,  56, 49, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,26, Florida St., ACC, 19-14, +10.38, 109.0, 91.5, 64.3, -.090, +10.38, 109.1, 98.7, -6.81
Sat Jan 31, 8, Georgia Tech, W,  82, 74, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,8, Georgia Tech, ACC, 28-10, +13.74, 113.5, 88.8, 69.1, +.008, +13.74, 110.8, 97.1, +0.97
Thu Feb 5, 11, North Carolina, W,  83, 81, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,11, North Carolina, ACC, 19-11, +13.85, 117.4, 94.1, 70.9, -.091, +13.85, 110.2, 96.4, +2.76
Sun Feb 8, 107, Clemson, W,  81, 55, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,107, Clemson, ACC, 10-18, +13.44, 102.1, 97.1, 64.9, +.022, +13.44, 110.6, 97.2, -1.35
Wed Feb 11, 66, Virginia, W,  93, 75, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,66, Virginia, ACC, 18-13, +10.68, 109.3, 99.1, 68.7, +.100, +10.68, 108.8, 98.1, -7.81
Sun Feb 15, 9, North Carolina St., L,  78, 74, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,9, North Carolina St., ACC, 21-10, +12.81, 119.1, 95.1, 62.1, -.072, +12.81, 109.5, 96.7, -0.59
Wed Feb 18, 15, Wake Forest, L,  90, 84, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,15, Wake Forest, ACC, 21-10, +13.52, 121.6, 99.9, 70.4, -.019, +13.52, 109.6, 96.1, +1.79
Sun Feb 22, 22, Maryland, W,  86, 63, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,22, Maryland, ACC, 20-12, +14.09, 110.9, 91.1, 71.1, -.009, +14.09, 112.1, 98.0, -1.13
Thu Feb 26, 152, Valparaiso, W,  97, 63, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,152, Valparaiso, MCon, 18-13, -1.31, 100.1, 99.6, 69.2, +.068, -1.31, 104.7, 106.0, +0.85
Sun Feb 29, 26, Florida St., W,  70, 65, A,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,26, Florida St., ACC, 19-14, +10.38, 109.0, 91.5, 64.3, -.090, +10.38, 109.1, 98.7, -6.81
Wed Mar 3, 8, Georgia Tech, L,  76, 68, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,8, Georgia Tech, ACC, 28-10, +13.74, 113.5, 88.8, 69.1, +.008, +13.74, 110.8, 97.1, +0.97
Sat Mar 6, 11, North Carolina, W,  70, 65, H,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,11, North Carolina, ACC, 19-11, +13.85, 117.4, 94.1, 70.9, -.091, +13.85, 110.2, 96.4, +2.76
Fri Mar 12, 66, Virginia, W,  84, 74, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,66, Virginia, ACC, 18-13, +10.68, 109.3, 99.1, 68.7, +.100, +10.68, 108.8, 98.1, -7.81
Sat Mar 13, 8, Georgia Tech, W,  85, 71, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,8, Georgia Tech, ACC, 28-10, +13.74, 113.5, 88.8, 69.1, +.008, +13.74, 110.8, 97.1, +0.97
Sun Mar 14, 22, Maryland, L,  95, 87, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,22, Maryland, ACC, 20-12, +14.09, 110.9, 91.1, 71.1, -.009, +14.09, 112.1, 98.0, -1.13
Thu Mar 18, 266, Alabama St., W,  96, 61, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,266, Alabama St., SWAC, 16-15, -12.06, 93.8, 104.5, 61.4, +.023, -12.06, 94.6, 106.7, +0.53
Sat Mar 20, 27, Seton Hall, W,  90, 62, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,27, Seton Hall, BE, 21-10, +7.85, 112.3, 95.0, 65.4, -.004, +7.85, 107.2, 99.4, -1.14
Fri Mar 26, 13, Illinois, W,  72, 62, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,13, Illinois, B10, 26-7, +8.13, 117.8, 95.7, 63.5, +.055, +8.13, 107.7, 99.5, +2.52
Sun Mar 28, 21, Xavier, W,  66, 63, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,21, Xavier, A10, 26-11, +7.19, 113.8, 93.6, 64.1, -.022, +7.19, 107.5, 100.3, +2.75
Sat Apr 3, 2, Connecticut, L,  79, 78, N,1, Duke, ACC, 31-6, +12.59, 120.8, 88.5, 67.7, -.028, +12.59, 109.5, 96.9, +2.42,2, Connecticut, BE, 33-6, +8.93, 117.8, 89.5, 68.2, +.012, +8.93, 107.7, 98.8, -2.05
